cardisprice,Model,Kilometer,fueltype,carfunc,Carbrand,Carmodel
446299.0,2015,33678.0,Petrol,Manual,Hyundai,Grand
497099.0,2018,29961.0,Petrol,Automatic,Maruti,Celerio
248899.0,2014,22626.0,Petrol,Manual,Maruti,Alto
1128199.0,2017,97226.0,Diesel,Automatic,Hyundai,Creta
730799.0,2018,64285.0,Diesel,Manual,Maruti,Dzire
957199.0,2019,22773.0,Petrol,Manual,Ford,Ecosport
274699.0,2014,46886.0,Petrol,Manual,Maruti,Alto
489599.0,2012,124487.0,Diesel,Manual,Hyundai,i20
355699.0,2013,38942.0,Petrol,Automatic,Hyundai,i10
408699.0,2013,30624.0,Petrol,Automatic,Hyundai,i10
303199.0,2017,33925.0,Petrol,Manual,Maruti,Alto
440699.0,2020,8651.0,Petrol,Manual,Maruti,S
326399.0,2015,25490.0,Petrol,Manual,Maruti,Alto
291999.0,2015,6248.0,Petrol,Manual,Maruti,Alto
943299.0,2018,83103.0,Diesel,Automatic,Maruti,Vitara
381199.0,2018,19746.0,Petrol,Manual,Maruti,Alto
311599.0,2015,12341.0,Petrol,Manual,Maruti,Alto
394099.0,2018,14908.0,Petrol,Manual,Maruti,Alto
324299.0,2017,12393.0,Petrol,Manual,Maruti,Alto
411199.0,2018,14899.0,Petrol,Manual,Maruti,Alto
333099.0,2017,18797.0,Petrol,Manual,Maruti,Alto
335899.0,2017,22244.0,Petrol,Manual,Maruti,Alto
500099.0,2014,24169.0,Diesel,Manual,Honda,Mobilio
459199.0,2013,27784.0,Petrol,Manual,Maruti,Swift
480599.0,2016,54688.0,Petrol,Manual,Maruti,Swift
608799.0,2016,26581.0,Petrol,Automatic,Maruti,Baleno
548399.0,2016,58063.0,Petrol,Manual,Maruti,Baleno
569999.0,2019,14526.0,Petrol,Manual,Ford,Figo
711799.0,2019,32623.0,Petrol,Manual,Hyundai,Elite
771699.0,2018,10222.0,Petrol,,Hyundai,Elite
394499.0,2013,72869.0,Diesel,Manual,Hyundai,i20
893299.0,2018,17005.0,Petrol,Manual,Ford,Ecosport
715499.0,2019,10357.0,Petrol,Manual,Maruti,Baleno
225799.0,2017,41959.0,Petrol,Automatic,Tata,Nano
899599.0,2019,31803.0,Diesel,Manual,Maruti,Vitara
485199.0,2016,36247.0,Petrol,Manual,Hyundai,Grand
524299.0,2014,97464.0,Diesel,Manual,Ford,Ecosport
549399.0,2019,2639.0,Petrol,,Hyundai,NEW
606299.0,2017,48106.0,Petrol,Automatic,Honda,Jazz
258399.0,2012,67595.0,Diesel,Manual,Volkswagen,Polo
299999.0,2010,46080.0,Petrol,Manual,Maruti,Swift
306899.0,2011,101973.0,Petrol,Manual,Honda,City
893199.0,2019,11728.0,Petrol,Manual,Hyundai,Verna
803499.0,2015,93768.0,Petrol,Automatic,Skoda,Octavia
589299.0,2015,125499.0,Diesel,Manual,Maruti,Ciaz
677899.0,2018,23139.0,Petrol,Manual,Volkswagen,Vento
533699.0,2014,36279.0,Petrol,Manual,Hyundai,Verna
276199.0,2015,21963.0,Petrol,Manual,Maruti,Wagon
478799.0,2016,56445.0,Petrol,Manual,Hyundai,Elite
530899.0,2016,85566.0,Petrol,Manual,Maruti,Swift
441199.0,2015,62081.0,Petrol,Manual,Maruti,Swift
362199.0,2015,22159.0,Petrol,Manual,Maruti,Celerio
232599.0,2012,44217.0,Petrol,Manual,Maruti,Alto
540299.0,2014,43443.0,Petrol,Manual,Hyundai,Verna
419299.0,2013,98145.0,Petrol,Manual,Maruti,Swift
600999.0,2015,47785.0,Diesel,Manual,Maruti,Baleno
621299.0,2016,23304.0,Petrol,Manual,Ford,Ecosport
453799.0,2014,31245.0,Petrol,Manual,Ford,Ecosport
393099.0,2017,33826.0,Petrol,Manual,Maruti,Wagon
772199.0,2018,50685.0,Diesel,Manual,Maruti,Ciaz
655199.0,2018,9207.0,Petrol,Manual,Volkswagen,Polo
659599.0,2016,51670.0,Petrol,Automatic,Ford,Ecosport
437299.0,2018,18627.0,Petrol,Manual,Tata,Tiago
618599.0,2018,23649.0,Petrol,Automatic,Maruti,Swift
269899.0,2012,33893.0,Petrol,Manual,Hyundai,i10
788199.0,2018,37002.0,Diesel,Manual,Maruti,S
